movieId,name,categories
72,Minority Report,SciFi|Action
2,Going Away,SciFi|Kids|Horror|Fantasy
0,The Alien,SciFi|Kids|Horror
49,The Big Game,Sports|Musical|MartialArts
1,The Life of Bees,SciFi|Kids|Thriller|Documentary
4,Beyond the Stars,SciFi|Kids|YouTube
6,The Friend Group,SciFi|Drama|Adventure|Kids
7,My Big Fat Italian Wedding,SciFi|Drama|Comedy
27,The Con,SciFi|Drama|Comedy
8,The Five Venoms,MartialArts|Musical|Drama|SciFi|Thriller
9,Shipwrecked,SciFi|Drama|Romance|Animation
10,InstaFriends,SciFi|Drama|Kids
5,The Escape to Witch Mountain,SciFi|Drama|Adventure|Kids
11,The Future World,SciFi|Drama|Tv|Fantasy|Adventure
12,Snake and Crane,SciFi|Drama|Musical|MartialArts
13,The Galaxy,SciFi|Drama|Action
18,The Beyond,SciFi|Drama|Action
17,Future Quest,SciFi|Drama|Action
19,Hurricane 2040,SciFi|Drama|Disaster
15,Secret Spy,SciFi|Kids|Fantasy
16,The Secret Cell,SciFi|Kids|Fantasy
20,The Funny Valentine,SciFi|Romance
21,The Monk,SciFi|MartialArts|Epic
23,The Day After Tomorrow,SciFi|Kids
26,Doom ,SciFi|Kids|Horror
65,The Edge,SciFi|Horror|Kids|Adventure
31,The Spy,SciFi|Action
40,Last Battle,War|Drama
36,Battle Fatigue,War|Drama
37,Captured,War|Drama
38,Lost,War|Drama
39,Prisoner,War|Drama
44,War,War|Drama
45,College Bound,Kids|Documentary|Adventure
71,Great Escape,SciFi|Horror|Documentary|Adventure
46,Adventure 40,Tv|Epic
47,Epic Fun,Epic
35,Alone,SciFi
41,Ghost Grave,War|Horror
22,The Missing,SciFi|Horror|Romance
50,Basketball Game,Sports|Drama|Kids
51,Sports in the West,Sports|Drama|Western
52,The Kick,Sports|Drama|Comedy
53,The Drawings,Sports|Drama|Romance|Animation
54,Slash,Sports|MartialArts|Slasher
29,Hands on with SciFi Redshift: Table Design,SciFi|History|Romance
56,Martial Arts,SciFi|MartialArts
28,Introduction and Escape,SciFi|Romance|History
57,Friends,SciFi|Kids
24,Future World,SciFi|Kids
3,Time is Up,SciFi|Kids|Horror|Fantasy
14,The Snow Fall,SciFi|Kids|Fantasy
60,Fighters,War
42,The Family,War|Romance
61,War Stories,War|Tv
58,Kids and Computers,Kids
48,Tennis Fun,Sports|Kids
62,The Song,Musical|MartialArts|Thriller
59,Dance Steps,Musical|MartialArts
43,The Last Battle,War|Horror
63,Eagle and Hawk,MartialArts|Slasher
64,Blade and Eagle,MartialArts|Slasher
67,My Enemy,War|Drama
66,Future Fall,War|Fantasy|Drama
34,Gun Smoke,SciFi|Western
68,The City,SciFi|Action
55,Stone Gun,War
69,Thriller Times,Thriller|Documentary|Adventure
25,Rapid Fire,SciFi|Action
70,In Search Of,War|Fantasy|Drama
30,Masterclass,SciFi|Kids|History|Horror
32,Scared Stiff,Kids|Horror
33,The Boyfriend,Horror|Romance
73,Run Away,Horror  
74,Maps,YouTube
